English,Bangla,Marma
My father is tall.,আমার বাবা লম্বা,ঙো আ্হ্রিঠং বাবা
No one was in the garden,বাগানে কেউ ছিল না,য়ইং ত্যক্পাং মিহিলিই
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,কো চ্গা ম্প্র সি
Don't be sad.,দু: খিত হবেন না,অউ ম্স্যুক্যে
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,নাং গো ক্র হো ল?
Have a good time.,একটি ভাল সময় আছে,ট্খু্ক হিরে আখ্যিং আকং
This is my daughter,এই আমার মেয়ে,ঙা স্মিং
Can I ask you a question?,আমি কি তোমাকে একটা প্রশ্ন করতে পারি?,ঙা টখও মিং ন্হেং হো ল?
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,য়াসু আ্ফা ম্রাং রে
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং খরুইকা ক্রাব আস্যা লেটেলে?
That's my book.,যে আমার বই,য়াচা ঙা চা
You're so nice,আপনি খুব চমৎকার,আমা আ্স্যাক্যারে
Can you come?,তুমি কি আসতে পারবে?,নাং লেনহেং
I'm crazy about you,আমি তোমার সম্পর্কে পাগল,নাাক্ মা রুউ রে
They are both good teachers,তারা দুজনেই ভালো শিক্ষক,ইয়াস্রু নহইয়ক চুং চাখ্যা ছ্ড়া
What are you doing today?,তুমি আজ কি করছ?,নাং গি্নি প্যাংরেলে আ্চ্যা
They got married,তারা বিয়ে করেছে,য়াস্রো ম্জেকেব্যা
Thanks for your help,আপনার সাহায্যের জন্য ধন্যবাদ,কোউরে কিজুতাংবারে কোগো কিজু
Are you serious?,তুমি কি সিরিয়াস?,নাং ল? আম্হেং
I hate you.,আমি আপনাকে ঘৃণা করি,কোগো মুংরে
Please speak more slowly.,অনুগ্রহ করে আরো ধীরে কথা বলুন,এসেই প্র
I love you.,আমি তোমায় ভালোবাসি,ঙা নাক্ কো
I am ready to start.,আমি শুরু করতে প্রস্তুত,চা ন্হেং রেব্যা
What was the word for?,শব্দটা কিসের ছিল?,আ্চা আ্সেং লে?
She was alone.,তিনি একা ছিলেন,হিঃরেলেয় নুং খ্যাং য়াঃসু
Did you take a shower?,তুমি কি গোসল করেছ?,নাং রি য়াং?
She likes swimming.,তিনি সাঁতার কাটতে পছন্দ করেন,য়াঃসু খেহো র্গু আমা সায়ারেয়
Excuse my mistake,আমার ভুল মাফ করবেন।,ম্হারে খোয়ং হ্রুওয়ে
Why are you drying your hair?,তুমি চুল শুকাচ্ছ কেন?,নাং ছেংবাং ল্হেংরে লে?
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,রো ইংসা গো ইউব তখুমসা প্র
"If he comes, tell him to wait","যদি তিনি আসেন, তাকে অপেক্ষা করতে বলুন",য়াসু ছুগ্যে য়াসু গো চং ছু ল
How are you?,তোমার কী অবস্থা,নাং লে ম্জংহীরে
They agree to work together,তারা একসঙ্গে কাজ করতে রাজি হয়েছে,ইয়াসরু ত্লামা অ্যালুলুকেহু মনে
How are you?,আপনি কেমন আছেন,আকং হিঃরিল?
See you tomorrow,আগামীকাল দেখা হবে,ন্হাক্ আতুই ক্যামে
There was a sudden change in the weather,আবহাওয়ার হঠাৎ পরিবর্তন ছিল,মো লি হ্লিরি পয়াংব প্পপাং
I am looking for a room.,আমি একটি রুম খুঁজছি,ত্দ ত ঙা হ্রারে
I am looking for a room.,আমি একটি রুম খুঁজছি,ত ত্দ হ্রারে
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,কিজু ম্হ্রচা কিজুটাংরে
I am hungry.,আমি ক্ষুধার্ত,ঙা মইপঃ
Thank you for coming,আসার জন্য আপনাকে ধন্যবাদ,কিজু লেটিঃ কোগো কিজুতাংবারে
I am happy to see you.,তোমাকে দেখে খুসি হলাম,না্ককো ক্রিব হাউরে আ্মা ঙা
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,গ্নি খরুইকা ক্রাব আস্যা লেটেলে?
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং গ্নি খরুইকা আস্যা লেটেলে?
Have a nice time.,একটি সুন্দর সময় আছে,আহ্লা ট্খু্ক আখ্যিং হিরে
I can't come.,আমি আসতে পারব না,ম্নংই ম্লেন্হেং/ ঙা লেহো ঙা
